PARTICIPANT 1,,,,,,,PARTICIPANT 2,,,,,,,PARTICIPANT 3,,,,,,,PARTICIPANT 4,,,,,,
study_word,test_word,Reference,old_new,test_textbox.text,,,study_word,test_word,Reference,old_new,test_textbox.text,,,study_word,test_word,Reference,old_new,test_textbox.text,,,study_word,test_word,Reference,old_new,test_textbox.text,,
,T_hi_t,Tshirt,old,tshirt,,,,ta_l_,Table,new,table,,,,P_li_e,Police,old,police,,,,_ou_e,mouse,old,shoe,,
,P_st_r,Poster,old,poster,,,,P_st_ _,Pastry,old,poster,,,,_o_rd,Board,old,board,,,,c_s_io_,Cushion,old,cushion,,
,K_y_,Keys,old,keys,,,,c_m_ra,Camera,new,camera,,,,_ha_t,Chart,old,chart,,,,_ho_e,Phone,old,chole,,
,v_s_,Vase,new,,,,,_ha_t,Chart,old,chart,,,,_ou_e,mouse,old,mouse,,,,P_li_e,Police,old,police,,
,l_pt_p,Laptop,old,laptop,,,,_o_rd,Board,old,chord,,,,bo_t_e,Bottle,new,bottle,,,,ta_l_,Table,new,,,
,_ha_t,Chart,old,chart,,,,p_nc_l,Pencil,new,pencil,,,,P_st_r,Poster,old,poster,,,,_oo_,Book,old,book,,
,c_s_io_,Cushion,old,cushion,,,,T_hi_t,Tshirt,old,tshirt,,,,v_s_,Vase,new,vast,,,,P_st_ _,Pastry,old,pastry,,
,_ru_s_,Cruise,old,cruise,,,,_ho_e,Phone,old,phone,,,,c_m_ra,Camera,new,camera,,,,_a_bl_,Marble,old,marble,,
,_o_rd,Board,old,chord,,,,v_s_,Vase,new,vase,,,,_ho_e,Phone,old,phone,,,,T_hi_t,Tshirt,old,tshirt,,
,_oo_,Book,old,book,,,,bo_t_e,Bottle,new,throttle,,,,_a_bl_,Marble,old,marble,,,,_ha_t,Chart,old,chart,,
,c_m_ra,Camera,new,camera,,,,l_pt_p,Laptop,old,laptop,,,,l_pt_p,Laptop,old,laptop,,,,l_pt_p,Laptop,old,laptop,,
,_a_bl_,Marble,old,marble,,,,_ou_e,mouse,old,mouse,,,,_ru_s_,Cruise,old,cruise,,,,bo_t_e,Bottle,new,bottle,,
,bo_t_e,Bottle,new,bottle,,,,c_s_,Case,old,case,,,,ta_l_,Table,new,table,,,,v_s_,Vase,new,vase,,
,p_nc_l,Pencil,new,pencil,,,,_ru_s_,Cruise,old,cruise,,,,T_hi_t,Tshirt,old,tshirt,,,,_ru_s_,Cruise,old,cruise,,
,ta_l_,Table,new,,,,,_a_bl_,Marble,old,arble,,,,K_y_,Keys,old,keys,,,,K_y_,Keys,old,keys,,
,_ou_e,mouse,old,mouse,,,,c_s_io_,Cushion,old,cushion,,,,p_nc_l,Pencil,new,,,,,c_s_,Case,old,case,,
,P_st_ _,Pastry,old,pastel,,,,P_li_e,Police,old,police,,,,_oo_,Book,old,fool,,,,c_m_ra,Camera,new,camera,,
,_ho_e,Phone,old,phone,,,,K_y_,Keys,old,keys,,,,c_s_io_,Cushion,old,cushion,,,,P_st_r,Poster,old,poster,,
,c_s_,Case,old,case,,,,_oo_,Book,old,cool,,,,P_st_ _,Pastry,old,pastry,,,,_o_rd,Board,old,board,,
,P_li_e,Police,old,police,,,,P_st_r,Poster,old,poster,,,,c_s_,Case,old,case,,,,p_nc_l,Pencil,new,pencil,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No. of Words,,,,20,,,No. of Words,,,,20,,,No. of Words,,,,20,,,No. of Words,,,,20,
,No. of Primed Words,,,,15,,,No. of Primed Words,,,,15,,,No. of Primed Words,,,,15,,,No. of Primed Words,,,,15,
,No. of Non-Primed Words,,,,5,,,No. of Non-Primed Words,,,,5,,,No. of Non-Primed Words,,,,5,,,No. of Non-Primed Words,,,,5,
,Proportion of Hits from Study List,,,,0.866666667,,,Proportion of Hits from Study List,,,,1,,,Proportion of Hits from Study List,,,,0.933333333,,,Proportion of Hits from Study List,,,,0.866666667,
,Proportion of Hits of Non-Primed Words,,,,0.6,,,Proportion of Hits of Non-Primed Words,,,,0.8,,,Proportion of Hits of Non-Primed Words,,,,0.8,,,Proportion of Hits of Non-Primed Words,,,,0.8,
,Priming Score,,,,0.266666667,,,Priming Score,,,,0.2,,,Priming Score,,,,0.133333333,,,Priming Score,,,,0.066666667,
